"team","influence","rank","oponent","score","Sspread","fgm","fga","fgm3","fga3","ftm","fta","or","dr","ast","blk","stl","to","pf","apg","Wcount","Lcount","Woponent","Loponent","Wspread","Lspread","myR","Season"
1148,168.489018499157,322.224375756329,185.393256020565,65.1034482758621,-16.3779310344828,23.5172413793103,58.7241379310345,5.6551724137931,16.5172413793103,12.4137931034483,18.2758620689655,11.551724137931,24.6551724137931,11.7586206896552,3.68965517241379,4.37931034482759,13.8620689655172,17.4137931034483,86.6896551724138,4,25,204.672768538995,182.75632142143,6.73,-20.0752,333.454733438705,2016
1212,174.205999058797,293.862522861361,170.712647815912,59.3214285714286,-14.9014285714286,19.8928571428571,51.0714285714286,4.92857142857143,18,14.6071428571429,22.5,8.78571428571429,22.8214285714286,8.57142857142857,1.78571428571429,6.25,14.8214285714286,20.4285714285714,86.3571428571429,4,24,182.694399177291,148.286350198582,5.85,-18.36,306.19193706995,2016
1197,167.30542000241,325.181561262443,215.643344120665,62.5925925925926,-14.7318518518519,21.5555555555556,54.5925925925926,5.81481481481481,19.1481481481481,13.6666666666667,23.1851851851852,9.7037037037037,24.4814814814815,10.7777777777778,2.18518518518519,6.40740740740741,16.2222222222222,19.4074074074074,91.8518518518518,6,21,237.083530914192,193.229382463455,3.87333333333333,-20.047619047619,334.492100924992,2016
1152,175.17557316465,311.398979864355,132.404748037113,62.6551724137931,-19.4993103448276,22.1724137931034,60.4137931034483,7.06896551724138,23.5172413793103,11.2413793103448,17,12.1724137931034,22.9655172413793,10.6206896551724,2.86206896551724,6.58620689655172,14.3793103448276,21.6896551724138,94.6379310344828,1,28,188.939248639672,121.015429885974,6.12,-20.4142857142857,317.776662999292,2016
1227,174.060784744973,283.568561649507,147.123680568773,65.4285714285714,-16.8714285714286,22.5714285714286,59.5714285714286,4.35714285714286,14.3214285714286,15.9285714285714,25.75,13.3928571428571,27.2142857142857,10.7857142857143,5.21428571428571,5.5,15.5714285714286,21.75,88.9464285714286,3,25,200.911296886242,145.89518220107,3.85333333333333,-19.3584,308.637574237064,2016
1427,174.785296906693,272.855317390013,141.369097677355,71.9,-16.6626666666667,24.6333333333333,59.7666666666667,6.96666666666667,21.7333333333333,15.6666666666667,22.3333333333333,10.0333333333333,23.1666666666667,11.4,2.43333333333333,6.2,13.3,22,95.9333333333333,4,26,204.354333054707,139.129455377314,7.61,-20.3969230769231,292.482011410283,2016
1175,12.2162312482719,350.8908396204,177.824271558162,60.0333333333333,-18.9306666666667,21.5666666666667,55.9333333333333,6.96666666666667,21.5,9.93333333333333,16.3,10.2666666666667,21.6333333333333,10.9666666666667,2.76666666666667,5.23333333333333,14.2333333333333,19.9333333333333,89.55,5,25,246.680587188465,162.102262599488,5.928,-23.9024,351,2016
1322,172.274576180013,242.723763689762,204.190914262063,76.8333333333333,-13.1116666666667,26.625,60.1666666666667,7.16666666666667,20.9166666666667,16.4166666666667,21.2083333333333,9.83333333333333,22.2083333333333,14.875,3.04166666666667,6.29166666666667,14.625,20.0416666666667,96.4791666666667,5,19,245.835944538171,166.896711186215,11.344,-19.5473684210526,280.503986596359,2016
1369,174.175117195987,283.505602402626,148.454381550221,65.4074074074074,-15.9688888888889,23.4814814814815,58.8888888888889,5,17.3703703703704,13.4444444444444,21.037037037037,11.3703703703704,24.2592592592593,11.8148148148148,1.55555555555556,7.18518518518519,14.2592592592593,18.1851851851852,89.6666666666667,3,24,185.536047647781,144.058867534466,8.86666666666667,-19.0733333333333,300.306858997973,2016
1309,171.584080805045,215.212446685661,210.770423201477,73.2592592592593,-9.41925925925926,24.962962962963,61.1111111111111,5.14814814814815,15.8518518518519,18.1851851851852,26.4074074074074,14,23.2222222222222,13.0740740740741,2.62962962962963,7.66666666666667,14.5925925925926,21.4814814814815,90.7592592592593,7,20,244.246606657046,167.669539216045,11.12,-16.608,259.574072794233,2016
